2021-08-04 19:00:59 startup archives install
2021-08-04 19:00:59 install base-passwd:amd64 <none> 3.5.39
2021-08-04 19:00:59 status half-installed base-passwd:amd64 3.5.39
2021-08-04 19:00:59 status unpacked base-passwd:amd64 3.5.39
2021-08-04 19:00:59 status unpacked base-passwd:amd64 3.5.39
2021-08-04 19:00:59 configure base-passwd:amd64 3.5.39 3.5.39
2021-08-04 19:00:59 status unpacked base-passwd:amd64 3.5.39
2021-08-04 19:00:59 status half-configured base-passwd:amd64 3.5.39
2021-08-04 19:00:59 status installed base-passwd:amd64 3.5.39
2021-08-04 19:00:59 startup archives install
2021-08-04 19:00:59 install base-files:amd64 <none> 9.4ubuntu4
2021-08-04 19:00:59 status half-installed base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status half-configured base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 status installed base-files:amd64 9.4ubuntu4
2021-08-04 19:00:59 startup archives install
2021-08-04 19:00:59 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2021-08-04 19:00:59 status half-configured dpkg 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg 1.18.4ubuntu1
2021-08-04 19:00:59 status half-installed dpkg 1.18.4ubuntu1
2021-08-04 19:00:59 status half-installed dpkg 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status half-configured dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 status installed dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:00:59 startup archives install
2021-08-04 19:00:59 install libc6:amd64 <none> 2.23-0ubuntu3
2021-08-04 19:00:59 status half-installed libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 status unpacked libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 status unpacked libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2021-08-04 19:01:00 status unpacked libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 status unpacked libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 status half-configured libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 status installed libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:00 startup archives install
2021-08-04 19:01:00 install perl-base:amd64 <none> 5.22.1-9
2021-08-04 19:01:00 status half-installed perl-base:amd64 5.22.1-9
2021-08-04 19:01:00 status unpacked perl-base:amd64 5.22.1-9
2021-08-04 19:01:00 status unpacked perl-base:amd64 5.22.1-9
2021-08-04 19:01:00 configure perl-base:amd64 5.22.1-9 5.22.1-9
2021-08-04 19:01:00 status unpacked perl-base:amd64 5.22.1-9
2021-08-04 19:01:00 status half-configured perl-base:amd64 5.22.1-9
2021-08-04 19:01:00 status installed perl-base:amd64 5.22.1-9
2021-08-04 19:01:00 startup archives install
2021-08-04 19:01:00 install mawk:amd64 <none> 1.3.3-17ubuntu2
2021-08-04 19:01:00 status half-installed mawk:amd64 1.3.3-17ubuntu2
2021-08-04 19:01:00 status unpacked mawk:amd64 1.3.3-17ubuntu2
2021-08-04 19:01:00 status unpacked mawk:amd64 1.3.3-17ubuntu2
2021-08-04 19:01:00 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2021-08-04 19:01:00 status unpacked mawk:amd64 1.3.3-17ubuntu2
2021-08-04 19:01:00 status half-configured mawk:amd64 1.3.3-17ubuntu2
2021-08-04 19:01:00 status installed mawk:amd64 1.3.3-17ubuntu2
2021-08-04 19:01:00 startup archives unpack
2021-08-04 19:01:00 install adduser:all <none> 3.113+nmu3ubuntu4
2021-08-04 19:01:00 status half-installed adduser:all 3.113+nmu3ubuntu4
2021-08-04 19:01:00 status unpacked adduser:all 3.113+nmu3ubuntu4
2021-08-04 19:01:00 status unpacked adduser:all 3.113+nmu3ubuntu4
2021-08-04 19:01:00 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2021-08-04 19:01:00 status half-configured base-files:amd64 9.4ubuntu4
2021-08-04 19:01:00 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:01:00 status half-installed base-files:amd64 9.4ubuntu4
2021-08-04 19:01:00 status half-installed base-files:amd64 9.4ubuntu4
2021-08-04 19:01:00 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:01:00 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:01:00 upgrade base-passwd:amd64 3.5.39 3.5.39
2021-08-04 19:01:00 status half-configured base-passwd:amd64 3.5.39
2021-08-04 19:01:00 status unpacked base-passwd:amd64 3.5.39
2021-08-04 19:01:00 status half-installed base-passwd:amd64 3.5.39
2021-08-04 19:01:00 status half-installed base-passwd:amd64 3.5.39
2021-08-04 19:01:00 status unpacked base-passwd:amd64 3.5.39
2021-08-04 19:01:00 status unpacked base-passwd:amd64 3.5.39
2021-08-04 19:01:00 install bash:amd64 <none> 4.3-14ubuntu1
2021-08-04 19:01:00 status half-installed bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:00 status unpacked bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:00 status unpacked bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:00 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2021-08-04 19:01:00 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:00 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:00 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:00 install coreutils:amd64 <none> 8.25-2ubuntu2
2021-08-04 19:01:00 status half-installed coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:01 status unpacked coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:01 status unpacked coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:01 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2021-08-04 19:01:01 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2021-08-04 19:01:01 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2021-08-04 19:01:01 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2021-08-04 19:01:01 install debconf:all <none> 1.5.58ubuntu1
2021-08-04 19:01:01 status half-installed debconf:all 1.5.58ubuntu1
2021-08-04 19:01:01 status unpacked debconf:all 1.5.58ubuntu1
2021-08-04 19:01:01 status unpacked debconf:all 1.5.58ubuntu1
2021-08-04 19:01:01 install debianutils:amd64 <none> 4.7
2021-08-04 19:01:01 status half-installed debianutils:amd64 4.7
2021-08-04 19:01:01 status unpacked debianutils:amd64 4.7
2021-08-04 19:01:01 status unpacked debianutils:amd64 4.7
2021-08-04 19:01:01 install diffutils:amd64 <none> 1:3.3-3
2021-08-04 19:01:01 status half-installed diffutils:amd64 1:3.3-3
2021-08-04 19:01:01 status unpacked diffutils:amd64 1:3.3-3
2021-08-04 19:01:01 status unpacked diffutils:amd64 1:3.3-3
2021-08-04 19:01:01 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2021-08-04 19:01:01 status half-configured dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:01:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:01:01 status half-installed dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:01:01 status half-installed dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:01:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:01:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-08-04 19:01:01 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2021-08-04 19:01:01 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:01 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:01 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:01 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
